client_number,first_name,last_name,email,mobile_number,date_of_birth,gender,province,city,signup_date,event_type,event_date,account_number,product_type,account_status,credit_limit,loan_amount,account_balance,channel,interaction_type,resolved_flag,transaction_type,amount
CL00869,Kagiso,Adams,kagiso.adams42@telkomsa.net,+27627212534,2001-10-15,M,Northern Cape,Kimberley,2024-04-17,Product Enrollment,2024-09-04,AC001141,Personal Loan,Suspended,,100000,64505.62,,,,,
CL00957,Priya,Ndlovu,priya.ndlovu26@gmail.com,0618867792,1999-02-23,F,Free State,Welkom,2022-09-02,Transaction,2024-09-04,AC001275,Credit Card,,,,,Online Banking,,,EFT Payment,6487.41
CL00994,Nadia,Kruger,nadia.kruger61@gmail.com,+27646396474,2001-03-09,M,Eastern Cape,Mthatha,2023-05-26,Transaction,2024-09-04,AC001335,Personal Loan,,,,,Branch,,,Withdrawal,-3946.3
CL01014,Priya,De Villiers, priya.de villiers58@gmail.com ,27739196133,1950-03-10,M,Eastern Cape,East London,2023-01-21,Product Enrollment,2024-09-04,AC001357,Savings,Closed,,,18908.06,,,,,
CL01257,Sam,Van der Merwe,sam.van der merwe77@telkomsa.net,,1953-11-10,M,North West,Mahikeng,2022-09-17,Transaction,2024-09-04,AC001675,Credit Card,,,,,EFT,,,Debit Order,-6867.79
CL01320,Sam,De Villiers, sam.de villiers82@webmail.co.za ,0726253006,1962-02-06,F,North West,Mahikeng,2022-01-17,Transaction,2024-09-04,AC001751,Credit Card,,,,,EFT,,,Debit Order,-4611.49
CL01454,Farhaan,De Villiers,farhaan.de villiers9@webmail.co.za,0795310948,1962-08-02,M,North West,Mahikeng,2024-03-25,Product Enrollment,2024-09-04,AC001932,Savings,Closed,,,16638.81,,,,,
CL00001,Marike,Nkosi, marike.nkosi70@gmail.com ,0679478454,1968-01-10,F,Free State,Bloemfontein,2022-07-29,Transaction,2024-09-05,AC000001,Personal Loan,,,,,ATM,,,Withdrawal,-7601.13
CL00126,Ruan,De Villiers,ruan.de villiers21@outlook.com,0646244264,1984-06-06,F,Eastern Cape,Mthatha,2022-05-30,Transaction,2024-09-05,AC000162,Credit Card,,,,,Branch,,,Withdrawal,-5337.11
CL00303,Ilse,Smith,ILSE.SMITH62@TELKOMSA.NET,+27672293325,1994-04-29,F,Mpumalanga,Mbombela,2023-12-08,Product Enrollment,2024-09-05,AC000395,Savings,Closed,,,49907.54,,,,,
CL00438,Sipho,De Villiers,sipho.de villiers42@outlook.com,0842847722,1954-05-10,M,Northern Cape,Kimberley,2024-06-29,Transaction,2024-09-05,AC000582,Savings,,,,,POS,,,POS Purchase,-1838.85
CL00439,Nadia,Mokoena, nadia.mokoena10@outlook.com ,+27668633480,1985-01-05,M,Gauteng,Pretoria,2024-02-09,Transaction,2024-09-05,AC000583,Savings,,,,,Online Banking,,,EFT Payment,7854.6
CL00524,Sipho,Abrahams,sipho.abrahams56@telkomsa.net,+27758077958,1966-10-09,M,Eastern Cape,Gqeberha,2022-10-25,Transaction,2024-09-05,AC000693,Credit Card,,,,,Branch,,,Deposit,6537.04
CL00658,Michelle,Nkosi,michelle.nkosi54@webmail.co.za,0755459377,1957-12-05,F,Limpopo,Polokwane,2022-03-24,CRM Interaction,2024-09-05,,,,,,,Chat,Query,N,,
CL01113,Ruan,Sithole,sipho.abrahams78@telkomsa.net,077 989 0570,1998-11-18,U,Western Cape,Cape Town,2022-08-08,Transaction,2024-09-05,AC001486,Savings,,,,,EFT,,,Debit Order,-2809.42
CL01192,Mpho,Mokoena,MPHO.MOKOENA66@TELKOMSA.NET,0799124351,1975-07-05,M,Western Cape,Stellenbosch,2022-09-03,Transaction,2024-09-05,AC001586,Credit Card,,,,,POS,,,POS Purchase,-268.06
CL01333,Naledi,Smith,naledi.smith17@gmail.com,,1959-10-09,F,KwaZulu Natal,Durban,2024-06-17,Transaction,2024-09-05,AC001770,Personal Loan,,,,,EFT,,,Deposit,7478.9
CL01359,Musa,Abrahams,musa.abrahams65@webmail.co.za,0618702666,1968-03-25,F,Eastern Cape,East London,2024-05-16,Transaction,2024-09-05,AC001801,Credit Card,,,,,Branch,,,Withdrawal,-5005.87
CL00004,Farhaan,Ndlovu,farhaan.ndlovu30@webmail.co.za,0725663623,1999-10-18,F,Free State,Welkom,2022-05-23,Transaction,2024-09-06,AC000003,Credit Card,,,,,POS,,,POS Purchase,-4316.89
CL00024,Michelle,Ndlovu,michelle.ndlovu48@telkomsa.net,,1954-10-01,U,Western Cape,Cape Town,2022-11-02,Transaction,2024-09-06,AC000025,Personal Loan,,,,,POS,,,POS Purchase,-7521.32
CL00077,Lindiwe,Mabaso,lindiwe.mabaso84@gmail.com,0681548888,2000-09-09,M,Limpopo,Tzaneen,2022-11-13,Transaction,2024-09-06,AC000096,Personal Loan,,,,,POS,,,POS Purchase,-2012.1
CL00156,Lindiwe,Pillay,lindiwe.pillay19@outlook.com,0779891787,1969-08-14,M,Northern Cape,Upington,2023-09-08,CRM Interaction,2024-09-06,,,,,,,Email,Query,N,,
CL00176,Grace,Botha,grace.botha49@webmail.co.za,080-328-3789,1948-08-09,U,KwaZulu Natal,Pietermaritzburg,2023-11-12,Transaction,2024-09-06,AC000232,Savings,,,,,Branch,,,Deposit,3552.46
CL00252,Sam,Sithole,sam.sithole82@outlook.com,+27654038955,1978-10-14,M,Western Cape,Stellenbosch,2023-04-01,Transaction,2024-09-06,AC000330,Credit Card,,,,,Mobile App,,,EFT Payment,4839.39
CL00254,Andile,Fourie,andile.fourie82@telkomsa.net,+27669396617,1989-08-09,M,Free State,Welkom,2024-08-21,Product Enrollment,2024-09-06,AC000334,Personal Loan,Active,,100000,43477.87,,,,,
CL00325,Ilse,Mabaso,ilse.mabaso42@webmail.co.za,+27675519920,1949-01-22,M,Limpopo,Polokwane,2024-02-17,Transaction,2024-09-06,AC000416,Credit Card,,,,,ATM,,,Withdrawal,-1926.3
CL00356,Sipho,Abrahams,sipho.abrahams34@webmail.co.za,0692541912,1956-06-16,F,Free State,Bloemfontein,2023-12-30,CRM Interaction,2024-09-06,,,,,,,Email,Product Application,N,,
CL00501,Zanele,Mokoena,zanele.mokoena95@yahoo.com,069-433-3024,2001-04-16,M,Northern Cape,Kimberley,2023-10-17,CRM Interaction,2024-09-06,,,,,,,Branch,Query,N,,
CL00603,Wian,Mabaso,wian.mabaso28@outlook.com,0639995633,2007-01-11,M,Eastern Cape,Gqeberha,2024-01-26,Transaction,2024-09-06,AC000795,Personal Loan,,,,,EFT,,,Debit Order,-2742.93
CL00711,Johan,Van der Merwe, johan.van der merwe96@telkomsa.net ,+27781547533,2006-04-12,F,Gauteng,Johannesburg,2024-04-22,Transaction,2024-09-06,AC000939,Personal Loan,,,,,ATM,,,Withdrawal,-6466.45
CL00730,Lerato,Mahlangu,lerato.mahlangu36@webmail.co.za,27709284901,1990-02-26,F,Western Cape,Cape Town,2024-04-30,CRM Interaction,2024-09-06,,,,,,,Call,Complaint,Y,,
CL00977,Lerato,Smith, lerato.smith80@gmail.com ,+27757375626,1977-11-13,M,North West,Rustenburg,2022-09-25,Transaction,2024-09-06,AC001309,Savings,,,,,Branch,,,Deposit,6144.81
CL01061,Lindiwe,Sithole,lindiwe.sithole28@outlook.com,+27783346211,1950-02-21,F,Free State,Welkom,2023-02-11,CRM Interaction,2024-09-06,,,,,,,Call,Product Application,N,,
CL01125,Precious,Sithole,precious.sithole15@yahoo.com,063 904 1683,1996-01-14,M,Free State,Welkom,2022-07-06,Transaction,2024-09-06,AC001497,Personal Loan,,,,,EFT,,,Debit Order,-40.87
CL01144,Precious,Mokoena,precious.mokoena29@gmail.com,062 947 0588,1992-03-10,F,Gauteng,Pretoria,2024-04-09,CRM Interaction,2024-09-06,,,,,,,Branch,Complaint,Y,,
CL01149,Zanele,Pillay, zanele.pillay36@webmail.co.za ,0615931635,2002-01-02,M,Eastern Cape,Mthatha,2022-05-31,Transaction,2024-09-06,AC001531,Personal Loan,,,,,ATM,,,Withdrawal,-26.22
CL01151,Ilse,Abrahams,ilse.abrahams25@gmail.com,+27792482766,1959-07-22,F,Gauteng,Johannesburg,2022-02-06,Transaction,2024-09-06,AC001534,Savings,,,,,Online Banking,,,EFT Payment,5075.42
CL01204,Kagiso,Naidoo,KAGISO.NAIDOO80@GMAIL.COM,0765106198,1965-12-16,M,Gauteng,Pretoria,2022-01-15,Transaction,2024-09-06,AC001597,Personal Loan,,,,,ATM,,,Withdrawal,-5510.42
CL01273,Lerato,Molefe,lerato.molefe44@yahoo.com,,1975-05-29,M,Mpumalanga,Witbank,2023-08-08,Transaction,2024-09-06,AC001697,Savings,,,,,POS,,,POS Purchase,-2490.91
CL01332,Ilse,Botha,ilse.botha87@yahoo.com,0804487272,1980-04-15,M,Gauteng,Soweto,2023-02-06,Transaction,2024-09-06,AC001768,Personal Loan,,,,,POS,,,POS Purchase,-3566.04
CL00026,Kyle,Nkosi,kyle.nkosi95@yahoo.com,0618896868,1977-10-20,M,KwaZulu Natal,Richards Bay,2024-04-23,CRM Interaction,2024-09-07,,,,,,,Branch,Query,Y,,
CL00033,Ruan,Mokoena,ruan.mokoena99@gmail.com,27827442089,1950-03-11,F,Eastern Cape,Gqeberha,2024-08-31,CRM Interaction,2024-09-07,,,,,,,Chat,Query,Y,,
CL00095,Andile,Pillay,andile.pillay83@yahoo.com,0793564729,1995-08-08,M,Gauteng,Johannesburg,2023-12-17,CRM Interaction,2024-09-07,,,,,,,Chat,Query,N,,
CL00242,Johan,Petersen,johan.petersen84@outlook.com,0723413447,1996-01-20,M,Gauteng,Sandton,2024-04-21,Transaction,2024-09-07,AC000316,Personal Loan,,,,,ATM,,,Withdrawal,-6781.27
CL00248,Chane,Kruger,chane.kruger99@gmail.com,0604754238,1966-07-19,F,Eastern Cape,Mthatha,2024-04-18,Transaction,2024-09-07,AC000325,Savings,,,,,Online Banking,,,EFT Payment,7993.86
CL00318,Priya,Ndlovu,PRIYA.NDLOVU52@TELKOMSA.NET,+27772214435,1972-10-21,F,Limpopo,Tzaneen,2023-02-03,Transaction,2024-09-07,AC000412,Credit Card,,,,,Branch,,,Withdrawal,-3915.67
CL00459,Riaan,Sithole,,0698475525,1986-05-13,F,KwaZulu Natal,Richards Bay,2024-02-03,CRM Interaction,2024-09-07,,,,,,,WhatsApp,Product Application,Y,,
CL00556,Vusi,Govender,vusi.govender80@webmail.co.za,,1951-10-01,F,Northern Cape,Upington,2024-08-09,CRM Interaction,2024-09-07,,,,,,,WhatsApp,Feedback,Y,,
CL00680,Lindiwe,Molefe,LINDIWE.MOLEFE37@WEBMAIL.CO.ZA,+27621727239,1963-03-19,,Gauteng,Soweto,2023-04-05,CRM Interaction,2024-09-07,,,,,,,Email,Feedback,N,,
CL00687,Riaan,Dlamini, RIAAN.DLAMINI47@YAHOO.COM ,27733511838,1990-10-11,M,Gauteng,Johannesburg,2022-11-20,Transaction,2024-09-07,AC000905,Personal Loan,,,,,Branch,,,Withdrawal,-2066.97
CL00712,Priya,Govender,priya.govender61@gmail.com,+27807640565,1988-10-14,M,Eastern Cape,Gqeberha,2022-08-23,Transaction,2024-09-07,AC000942,Personal Loan,,,,,POS,,,POS Purchase,-580.41
CL00714,Riaan,Zulu,riaan.zulu51@yahoo.com,,1963-04-16,U,Limpopo,Tzaneen,2024-05-30,Transaction,2024-09-07,AC000946,Credit Card,,,,,POS,,,POS Purchase,-6239.26
CL00742,Johan,Pillay,johan.pillay88@gmail.com,+27608962478,1975-05-23,M,Northern Cape,Upington,2023-05-04,CRM Interaction,2024-09-07,,,,,,,Chat,Complaint,Y,,
CL00847,Ruan,Van der Merwe,RUAN.VAN DER MERWE72@WEBMAIL.CO.ZA,0777611016,1966-03-29,F,KwaZulu Natal,Durban,2023-05-17,Transaction,2024-09-07,AC001111,Personal Loan,,,,,POS,,,POS Purchase,-1587.27
CL00891,Kagiso,Mabaso,kagiso.mabaso48@gmail.com,0774346251,1966-02-21,F,Free State,Bloemfontein,2023-06-09,Transaction,2024-09-07,AC001171,Personal Loan,,,,,POS,,,POS Purchase,-3265.34
CL00923,Marike,Zulu,marike.zulu39@gmail.com,0846727358,2004-05-22,M,Free State,Bloemfontein,2023-04-21,Transaction,2024-09-07,AC001216,Credit Card,,,,,EFT,,,Debit Order,-6385.48
CL00976,Riaan,Smith,riaan.smith22@gmail.com,0736662609,1973-02-21,,Eastern Cape,Mthatha,2022-02-18,Transaction,2024-09-07,AC001306,Credit Card,,,,,POS,,,POS Purchase,-6085.01
CL00981,Tumi,Petersen,tumi.petersen18@yahoo.com,0822536556,2007-08-27,F,North West,Mahikeng,2022-09-07,Transaction,2024-09-07,AC001318,Credit Card,,,,,EFT,,,Debit Order,-6890.74
CL01012,Sipho,De Villiers, sipho.de villiers75@telkomsa.net ,27623571860,1958-02-06,F,KwaZulu Natal,Durban,2023-04-26,Product Enrollment,2024-09-07,AC001355,Savings,Active,,,56058.33,,,,,
CL01079,Ruan,Molefe,ruan.molefe8@telkomsa.net,0643505288,1969-08-04,M,Limpopo,Polokwane,2022-11-14,Transaction,2024-09-07,AC001442,Personal Loan,,,,,EFT,,,Fee,-2420.92
CL01104,Nokuthula,Ndlovu,nokuthula.ndlovu68@webmail.co.za,27785826180,1986-07-21,F,Eastern Cape,Gqeberha,2024-03-06,Transaction,2024-09-07,AC001475,Savings,,,,,POS,,,POS Purchase,-5936.38
CL01372,Andile,Abrahams,andile.abrahams82@yahoo.com,0826180257,2006-03-15,M,Northern Cape,Upington,2023-12-23,Transaction,2024-09-07,AC001817,Savings,,,,,EFT,,,Debit Order,-2515.59
CL00029,Nomvula,Mahlangu,NOMVULA.MAHLANGU91@OUTLOOK.COM,+27834305700,1982-07-23,M,Mpumalanga,Mbombela,2023-01-25,Transaction,2024-09-08,AC000034,Personal Loan,,,,,Mobile App,,,EFT Payment,6206.76
CL00031,Precious,Govender,precious.govender1@webmail.co.za,27806406444,2003-03-22,M,Mpumalanga,Mbombela,2024-04-11,Product Enrollment,2024-09-08,AC000039,Personal Loan,Active,,10000,6623.91,,,,,
CL00041,Kyle,Smith,kyle.smith45@yahoo.com,084 152 0596,1949-09-27,M,Gauteng,Soweto,2022-04-17,Transaction,2024-09-08,AC000054,Personal Loan,,,,,Branch,,,Deposit,4562.13
CL00072,Nomvula,Mokoena,nomvula.mokoena81@gmail.com,27833204724,1970-06-26,M,Eastern Cape,Mthatha,2022-10-08,CRM Interaction,2024-09-08,,,,,,,Branch,Query,N,,
CL00446,Ayesha,Sithole,ayesha.sithole79@telkomsa.net,079 663 2022,1974-08-10,F,Limpopo,Polokwane,2023-07-07,Transaction,2024-09-08,AC000596,Credit Card,,,,,ATM,,,Deposit,584.28
CL00731,Naledi,Sithole, NALEDI.SITHOLE80@GMAIL.COM ,,1992-04-04,M,Free State,Welkom,2022-09-06,Transaction,2024-09-08,AC000970,Credit Card,,,,,EFT,,,Debit Order,-354.75
CL00824,Ilse,Mahlangu,ilse.mahlangu92@webmail.co.za,+27703270615,1960-09-11,F,Limpopo,Polokwane,2023-02-23,Transaction,2024-09-08,AC001079,Credit Card,,,,,ATM,,,Deposit,6774.74
CL00942,Bongani,Pillay,bongani.pillay74@outlook.com,+27704070056,1958-09-20,F,Western Cape,Paarl,2022-07-12,CRM Interaction,2024-09-08,,,,,,,Chat,Product Application,Y,,
CL00949,Ilse,Van der Merwe,ilse.van der merwe58@yahoo.com,+27722382256,1997-01-06,M,Limpopo,Tzaneen,2023-08-02,Transaction,2024-09-08,AC001262,Credit Card,,,,,POS,,,POS Purchase,-4505.0
CL00960,Naledi,Sithole,naledi.sithole25@webmail.co.za,0625123439,1974-03-06,M,Mpumalanga,Mbombela,2023-04-07,Transaction,2024-09-08,AC001280,Personal Loan,,,,,EFT,,,Deposit,5170.95
CL01014,Priya,De Villiers, priya.de villiers58@gmail.com ,27739196133,1950-03-10,M,Eastern Cape,East London,2023-01-21,Transaction,2024-09-08,AC001357,Savings,,,,,Mobile App,,,EFT Payment,6994.59
CL01020,Ilse,Molefe,ilse.molefe14@yahoo.com,084-415-9672,1999-10-07,F,Mpumalanga,Mbombela,2024-04-15,CRM Interaction,2024-09-08,,,,,,,Branch,Product Application,Y,,
CL01049,David,Naidoo,david.naidoo95@outlook.com,,1955-05-10,F,Eastern Cape,Gqeberha,2024-06-28,Product Enrollment,2024-09-08,AC001411,Credit Card,Closed,30000,,6957.15,,,,,
CL01294,Kagiso,Van der Merwe,kagiso.van der merwe59@webmail.co.za,0697460848,1978-02-09,M,North West,Mahikeng,2022-08-30,Transaction,2024-09-08,AC001724,Personal Loan,,,,,ATM,,,Deposit,484.81
CL01304,Kagiso,Adams,kagiso.adams12@telkomsa.net,0754392094,1990-05-13,M,Free State,Welkom,2024-04-26,CRM Interaction,2024-09-08,,,,,,,Chat,Query,N,,
CL01315,Chane,Molefe,chane.molefe80@yahoo.com,,1948-11-14,,Gauteng,Johannesburg,2023-08-13,Transaction,2024-09-08,AC001744,Credit Card,,,,,Branch,,,Deposit,785.53
CL01468,Riaan,Kruger,riaan.kruger49@yahoo.com,+27632698894,2007-09-20,F,Free State,Welkom,2023-11-16,CRM Interaction,2024-09-08,,,,,,,Email,Complaint,Y,,
CL00005,Grace,Kruger,grace.kruger88@gmail.com,065 875 5439,1981-03-18,F,Limpopo,Polokwane,2023-07-01,Transaction,2024-09-09,AC000005,Credit Card,,,,,EFT,,,Debit Order,-7391.14
CL00043,Zanele,Steyn,ZANELE.STEYN92@YAHOO.COM,27636059717,1975-12-27,M,Gauteng,Johannesburg,2024-02-08,Transaction,2024-09-09,AC000058,Savings,,,,,POS,,,POS Purchase,-4733.36
CL00045,Grace,Abrahams,grace.abrahams69@outlook.com,27705118725,1963-10-20,M,KwaZulu Natal,Pietermaritzburg,2023-07-08,Transaction,2024-09-09,AC000061,Personal Loan,,,,,Online Banking,,,EFT Payment,7109.36
CL00238,Farhaan,Molefe,farhaan.molefe67@outlook.com,0784953417,2000-11-27,F,Limpopo,Tzaneen,2022-05-05,Transaction,2024-09-09,AC000310,Personal Loan,,,,,EFT,,,Debit Order,-3379.12
CL00260,Sam,Nkosi,sam.nkosi22@gmail.com,,1959-10-09,F,Eastern Cape,Gqeberha,2022-02-14,CRM Interaction,2024-09-09,,,,,,,Email,Query,N,,
CL00380,Ruan,Steyn, ruan.steyn1@telkomsa.net ,+27751096478,2004-03-14,F,North West,Mahikeng,2022-09-27,Transaction,2024-09-09,AC000497,Credit Card,,,,,EFT,,,Debit Order,-2070.42
CL00418,Nadia,Zulu,nadia.zulu84@webmail.co.za,0807562471,1995-08-31,M,Western Cape,Cape Town,2024-06-03,Transaction,2024-09-09,AC000549,Personal Loan,,,,,EFT,,,Debit Order,-2464.76
CL00433,Riaan,Ndlovu,riaan.ndlovu81@telkomsa.net,0621106528,1969-11-09,U,KwaZulu Natal,Pietermaritzburg,2022-03-25,Transaction,2024-09-09,AC000574,Personal Loan,,,,,Branch,,,Withdrawal,-5307.71
CL00460,Farhaan,Naidoo,farhaan.naidoo54@yahoo.com,0698962686,1987-09-12,F,North West,Mahikeng,2024-05-18,CRM Interaction,2024-09-09,,,,,,,Chat,Product Application,Y,,
CL00613,Nokuthula,Sithole, nokuthula.sithole76@gmail.com ,0723723988,1981-06-23,F,Mpumalanga,Witbank,2023-09-23,CRM Interaction,2024-09-09,,,,,,,Chat,Feedback,N,,
CL00695,Sipho,Petersen,SIPHO.PETERSEN20@OUTLOOK.COM,0674617959,2000-08-08,M,Mpumalanga,Witbank,2022-03-18,Transaction,2024-09-09,AC000915,Savings,,,,,POS,,,POS Purchase,-931.63
CL00759,Sam,Dlamini,sam.dlamini70@webmail.co.za,0793066894,1984-04-17,M,Gauteng,Sandton,2023-01-12,Transaction,2024-09-09,AC001001,Savings,,,,,ATM,,,Withdrawal,-1040.4
CL00880,Precious,Fourie,precious.fourie68@yahoo.com,,1999-01-31,M,North West,Mahikeng,2022-01-25,Transaction,2024-09-09,AC001156,Savings,,,,,Mobile App,,,EFT Payment,744.45
CL01218,Precious,Dlamini,precious.dlamini88@telkomsa.net,0721812293,1999-09-22,F,Eastern Cape,Gqeberha,2024-08-20,CRM Interaction,2024-09-09,,,,,,,Call,Feedback,Y,,
CL01325,Kyle,Molefe,kyle.molefe10@webmail.co.za,,1960-09-09,F,KwaZulu Natal,Durban,2023-12-26,CRM Interaction,2024-09-09,,,,,,,WhatsApp,Product Application,Y,,
CL01345,Sam,Petersen,sam.petersen73@outlook.com,+27839435412,1965-11-19,F,Free State,Welkom,2023-05-07,CRM Interaction,2024-09-09,,,,,,,Call,Query,Y,,
CL01349,Vusi,Petersen,vusi.petersen41@webmail.co.za,+27734691167,1962-02-14,U,Eastern Cape,Gqeberha,2022-08-27,CRM Interaction,2024-09-09,,,,,,,Call,Query,N,,
CL01355,Kagiso,Van der Merwe,kagiso.van der merwe4@telkomsa.net,063 465 1002,1976-09-08,M,Free State,Bloemfontein,2023-02-04,CRM Interaction,2024-09-09,,,,,,,Chat,Query,Y,,
CL01423,Werner,Adams,werner.adams11@telkomsa.net,27777752669,1967-03-30,M,Mpumalanga,Mbombela,2024-04-14,Transaction,2024-09-09,AC001890,Savings,,,,,Branch,,,Withdrawal,-5776.78
CL01425,Chane,Abrahams,chane.abrahams24@outlook.com,,1996-06-30,M,KwaZulu Natal,Durban,2023-04-04,Transaction,2024-09-09,AC001893,Savings,,,,,EFT,,,Deposit,7503.81
CL00006,Lindiwe,Smith, lindiwe.smith5@webmail.co.za ,0786279418,1977-02-03,M,Northern Cape,Kimberley,2022-04-25,Transaction,2024-09-10,AC000007,Savings,,,,,Mobile App,,,EFT Payment,1367.21
CL00033,Ruan,Mokoena,ruan.mokoena99@gmail.com,27827442089,1950-03-11,F,Eastern Cape,Gqeberha,2024-08-31,CRM Interaction,2024-09-10,,,,,,,WhatsApp,Complaint,Y,,
CL00055,Grace,Van der Merwe,grace.van der merwe70@yahoo.com,062-200-0560,2004-01-28,M,Eastern Cape,East London,2023-02-10,CRM Interaction,2024-09-10,,,,,,,Chat,Product Application,Y,,
CL00436,Vusi,Zulu,vusi.zulu15@yahoo.com,+27653680321,2004-03-14,M,Eastern Cape,East London,2023-07-21,CRM Interaction,2024-09-10,,,,,,,Call,Product Application,Y,,
CL00450,Riaan,Molefe,RIAAN.MOLEFE37@GMAIL.COM,075 352 4938,1989-01-28,F,Gauteng,Pretoria,2024-03-11,Product Enrollment,2024-09-10,AC000602,Personal Loan,Active,,50000,17163.75,,,,,
CL00513,Kyle,Van der Merwe,kyle.van der merwe88@gmail.com,0703579924,1956-06-17,M,Eastern Cape,East London,2022-02-23,Transaction,2024-09-10,AC000679,Credit Card,,,,,Online Banking,,,Refund,7082.38
CL00524,Sipho,Abrahams,sipho.abrahams56@telkomsa.net,+27758077958,1966-10-09,M,Eastern Cape,Gqeberha,2022-10-25,Transaction,2024-09-10,AC000693,Credit Card,,,,,EFT,,,Debit Order,-1269.0
CL00589,Lindiwe,Naidoo,lindiwe.naidoo73@outlook.com,0813980239,1995-12-14,F,Mpumalanga,Mbombela,2024-08-30,Transaction,2024-09-10,AC000777,Savings,,,,,ATM,,,Withdrawal,-1874.76
CL00661,Karabo,Adams,karabo.adams34@yahoo.com,+27639427765,1993-11-12,F,KwaZulu Natal,Richards Bay,2023-07-30,Transaction,2024-09-10,AC000869,Credit Card,,,,,POS,,,POS Purchase,-3978.32
CL00691,Grace,De Villiers, GRACE.DE VILLIERS25@WEBMAIL.CO.ZA ,27701470581,1982-02-18,F,Limpopo,Tzaneen,2024-01-31,CRM Interaction,2024-09-10,,,,,,,Email,Query,Y,,
CL00748,Mpho,Molefe,mpho.molefe6@telkomsa.net,27738634097,1983-01-30,M,Limpopo,Tzaneen,2023-07-20,Transaction,2024-09-10,AC000988,Credit Card,,,,,Branch,,,Withdrawal,-3806.82
CL00941,Tumi,Ndlovu,TUMI.NDLOVU10@TELKOMSA.NET,0665174163,2002-09-09,F,Limpopo,Polokwane,2024-01-04,Transaction,2024-09-10,AC001247,Savings,,,,,Online Banking,,,EFT Payment,2692.35
CL01017,Riaan,Govender,riaan.govender58@telkomsa.net,,1960-05-07,F,Gauteng,Sandton,2024-01-05,Transaction,2024-09-10,AC001361,Personal Loan,,,,,Branch,,,Withdrawal,-5087.38
CL01240,Johan,Govender,johan.govender63@outlook.com,084-640-7624,1961-04-26,F,Mpumalanga,Mbombela,2023-08-11,Transaction,2024-09-10,AC001644,Savings,,,,,Online Banking,,,EFT Payment,1170.4
CL01278,Nomvula,Pillay,nomvula.pillay55@gmail.com,+27712106581,1970-10-27,M,Free State,Welkom,2024-01-07,CRM Interaction,2024-09-10,,,,,,,Email,Product Application,N,,
CL01316,Thabo,Smith,THABO.SMITH79@WEBMAIL.CO.ZA,27634714163,1950-10-26,M,Limpopo,Polokwane,2024-05-27,Transaction,2024-09-10,AC001747,Personal Loan,,,,,EFT,,,Debit Order,-7755.8
CL01381,Karabo,Adams,karabo.adams74@webmail.co.za,+27813874563,1971-03-10,F,Eastern Cape,Mthatha,2024-07-12,CRM Interaction,2024-09-10,,,,,,,Chat,Complaint,N,,
CL01403,Ayesha,Mabaso,ayesha.mabaso46@gmail.com,0713989746,1974-02-19,M,Western Cape,Paarl,2023-04-07,CRM Interaction,2024-09-10,,,,,,,Email,Complaint,Y,,
CL00030,Riaan,Govender,riaan.govender39@telkomsa.net,+27693135534,2003-11-27,F,Gauteng,Sandton,2022-09-13,Transaction,2024-09-11,AC000036,Credit Card,,,,,Branch,,,Deposit,1854.36
CL00183,Wian,Zulu,wian.zulu39@gmail.com,080-283-4801,1990-09-19,F,North West,Mahikeng,2024-07-15,CRM Interaction,2024-09-11,,,,,,,Email,Product Application,Y,,
CL00185,Sam,Nkosi,sam.nkosi27@webmail.co.za,,2001-02-16,F,Eastern Cape,East London,2022-01-10,Transaction,2024-09-11,AC000243,Personal Loan,,,,,POS,,,Refund,5752.86
CL00273,Werner,Ndlovu,werner.ndlovu29@outlook.com,27827095071,1988-12-05,U,Eastern Cape,Mthatha,2024-01-15,CRM Interaction,2024-09-11,,,,,,,Call,Query,Y,,
CL00288,Mpho,Ndlovu,mpho.ndlovu66@outlook.com,070 962 1722,1994-05-15,M,Free State,Bloemfontein,2024-02-07,CRM Interaction,2024-09-11,,,,,,,Branch,Query,N,,
CL00337,Riaan,Naidoo,RIAAN.NAIDOO29@WEBMAIL.CO.ZA,+27795561139,1983-06-01,F,Mpumalanga,Witbank,2024-03-09,Product Enrollment,2024-09-11,AC000434,Credit Card,Active,5000,,1256.81,,,,,
CL00370,Kagiso,Steyn,kagiso.steyn73@yahoo.com,0634089276,1986-08-01,,Northern Cape,Kimberley,2022-10-25,Transaction,2024-09-11,AC000483,Personal Loan,,,,,Branch,,,Deposit,3983.95
CL00387,Thabo,Botha,THABO.BOTHA54@OUTLOOK.COM,066-118-9536,2004-02-11,M,Western Cape,Paarl,2023-03-01,Transaction,2024-09-11,AC000507,Credit Card,,,,,EFT,,,Debit Order,-1403.09
CL00576,David,Naidoo,david.naidoo34@yahoo.com,0603954088,1950-08-30,F,Limpopo,Polokwane,2023-08-05,Transaction,2024-09-11,AC000760,Credit Card,,,,,EFT,,,Deposit,4631.41
CL00869,Kagiso,Adams,kagiso.adams42@telkomsa.net,+27627212534,2001-10-15,M,Northern Cape,Kimberley,2024-04-17,Transaction,2024-09-11,AC001140,Credit Card,,,,,POS,,,POS Purchase,-3958.22
CL00878,Riaan,Zulu,riaan.zulu83@yahoo.com,+27729141073,1990-10-16,M,Northern Cape,Upington,2022-12-15,Transaction,2024-09-11,AC001152,Personal Loan,,,,,EFT,,,Fee,-2989.01
